Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Fukuoka SoftBank Hawks,2025-10-17 05:00:00,BetMGM,2.6,2025-10-17 05:11:46,2025-10-17 09:00:00,2025-10-17 09:11:46,2.07,25.33,Hokkaido Nippon-Ham Fighters
Yokohama DeNA BayStars @ Hanshin Tigers,NPB,Yokohama DeNA BayStars,2025-10-17 05:00:00,FanDuel,2.32,2025-10-17 05:11:46,2025-10-17 09:00:00,2025-10-17 09:11:46,2.17,6.8,Hanshin Tigers
Toronto Blue Jays @ Seattle Mariners,MLB,Seattle Mariners,2025-10-17 18:09:00,DraftKings,1.81,2025-10-17 19:08:52,2025-10-17 22:09:00,2025-10-17 23:08:52,1.59,13.73,Toronto Blue Jays
Denver Nuggets @ Oklahoma City Thunder,NBA Preseason,Denver Nuggets,2025-10-17 20:00:00,Caesars,4.2,2025-10-17 19:34:51,2025-10-18 00:00:00,2025-10-17 23:34:51,3.87,8.58,Oklahoma City Thunder
Saskatchewan Roughriders @ Winnipeg Blue Bombers,CFL,Saskatchewan Roughriders,2025-10-17 20:00:00,DraftKings,4.7,2025-10-17 19:34:51,2025-10-18 00:00:00,2025-10-17 23:34:51,4.43,6.05,Winnipeg Blue Bombers
Nebraska Cornhuskers @ Minnesota Golden Gophers,NCAAF,Minnesota Golden Gophers,2025-10-17 20:05:53,Caesars,3.8,2025-10-17 20:42:08,2025-10-18 00:05:53,2025-10-18 00:42:08,2.72,39.95,Minnesota Golden Gophers
Minnesota Wild @ Washington Capitals,NHL,Washington Capitals,2025-10-17 19:11:02,Fanatics,1.83,2025-10-17 20:42:08,2025-10-17 23:11:02,2025-10-18 00:42:08,1.43,28.26,Washington Capitals
Tampa Bay Lightning @ Detroit Red Wings,NHL,Tampa Bay Lightning,2025-10-17 19:08:35,FanDuel,3.55,2025-10-17 20:42:08,2025-10-17 23:08:35,2025-10-18 00:42:08,2.81,26.3,Detroit Red Wings
Vancouver Canucks @ Chicago Blackhawks,NHL,Chicago Blackhawks,2025-10-17 20:39:05,BetMGM,2.25,2025-10-17 22:12:55,2025-10-18 00:39:05,2025-10-18 02:12:55,1.31,71.81,Vancouver Canucks
San Jose Sharks @ Utah Mammoth,NHL,Utah Mammoth,2025-10-17 21:08:49,BetMGM,1.53,2025-10-17 22:12:55,2025-10-18 01:08:49,2025-10-18 02:12:55,1.13,34.93,Utah Mammoth
Milwaukee Brewers @ Los Angeles Dodgers,MLB,Milwaukee Brewers,2025-10-17 20:38:51,Fanatics,16.0,2025-10-17 22:12:55,2025-10-18 00:38:51,2025-10-18 02:12:55,13.85,15.56,Los Angeles Dodgers
Edmonton Elks @ BC Lions,CFL,Edmonton Elks,2025-10-17 22:37:00,DraftKings,3.75,2025-10-17 22:12:55,2025-10-18 02:37:00,2025-10-18 02:12:55,3.65,2.62,BC Lions
North Carolina Tar Heels @ California Golden Bears,NCAAF,North Carolina Tar Heels,2025-10-17 22:40:22,FanDuel,6.6,2025-10-17 23:43:28,2025-10-18 02:40:22,2025-10-18 03:43:28,4.5,46.53,California Golden Bears
Hokkaido Nippon-Ham Fighters @ Fukuoka SoftBank Hawks,NPB,Hokkaido Nippon-Ham Fighters,2025-10-18 01:00:00,BetMGM,2.2,2025-10-18 01:09:17,2025-10-18 05:00:00,2025-10-18 05:09:17,2.0,10.0,Hokkaido Nippon-Ham Fighters
Samsung Lions @ Hanwha Eagles,KBO,Samsung Lions,2025-10-18 01:00:00,FanDuel,2.68,2025-10-18 01:09:17,2025-10-18 05:00:00,2025-10-18 05:09:17,2.47,8.28,Hanwha Eagles
Chelsea @ Nottingham Forest,EPL,Nottingham Forest,2025-10-18 07:31:00,Caesars,3.7,2025-10-18 08:16:53,2025-10-18 11:31:00,2025-10-18 12:16:53,3.28,12.64,Chelsea
