ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
25a45928a3d4b8a0d492283f6f434421,basketball_nba,NBA,2026-03-01T20:45:00Z,2026-03-01T21:33:17Z,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,2026-03-01,Kalshi,2.33,2.2,0.06,2.0,Not Found
21290158d4158b60465d5ed989ac46e6,basketball_ncaab,NCAAB,2026-03-01T21:11:56Z,2026-03-01T21:33:17Z,DePaul Blue Demons @ Marquette Golden Eagles,Marquette Golden Eagles,2026-03-01,Kalshi,1.79,1.7,0.05,2.0,Not Found
d2982f3d32bb667ec0e63ea21a7647c3,icehockey_ahl,AHL,2026-03-01T20:06:00Z,2026-03-01T21:33:17Z,Abbotsford Canucks @ Calgary Wranglers,Abbotsford Canucks,2026-03-01,Kalshi,1.2,1.14,0.05,2.0,Not Found
ab2357087428a9fee8c8a747eed1fced,basketball_nba,NBA,2026-03-01T20:40:00Z,2026-03-01T21:33:17Z,Cleveland Cavaliers @ Brooklyn Nets,Cleveland Cavaliers,2026-03-01,Kalshi,1.27,1.24,0.03,2.0,Not Found
cc2edd23c90efdc9ac05b2dda6db0710,basketball_nba,NBA,2026-03-01T20:40:00Z,2026-03-01T21:33:17Z,Milwaukee Bucks @ Chicago Bulls,Chicago Bulls,2026-03-01,Kalshi,7.69,7.45,0.03,2.0,Not Found
3e9c9dee119a2c08c21e2c5a16621e62,basketball_ncaab,NCAAB,2026-03-01T21:03:25Z,2026-03-01T21:50:50Z,Southern Illinois Salukis @ Evansville Purple Aces,Evansville Purple Aces,2026-03-01,Kalshi,14.29,12.71,0.12,2.0,Not Found
4606abe4cf29afa00dd9635823d3ea75,soccer_usa_mls,MLS,2026-03-01T21:30:00Z,2026-03-01T21:50:50Z,New York City FC @ Philadelphia Union,New York City FC,2026-03-01,Kalshi,3.85,3.59,0.07,3.0,Not Found
72956adb311374c8fa2dadcc3f8f28b7,basketball_ncaab,NCAAB,2026-03-01T22:00:00Z,2026-03-01T22:44:05Z,Belmont Bruins @ Illinois St Redbirds,Illinois St Redbirds,2026-03-01,Kalshi,2.44,2.34,0.04,2.0,Not Found
1ac567e2d0cf71fd4c1de0ff58cb9a0a,basketball_nba,NBA,2026-03-01T22:11:00Z,2026-03-01T23:00:18Z,Memphis Grizzlies @ Indiana Pacers,Indiana Pacers,2026-03-01,Kalshi,2.56,2.42,0.06,2.0,Not Found
731cf306c2da7f0afba2a9a20995227f,basketball_wncaab,WNCAAB,2026-03-01T22:00:00Z,2026-03-01T23:00:18Z,Washington Huskies @ Oregon Ducks,Washington Huskies,2026-03-01,Kalshi,1.41,1.37,0.03,2.0,Not Found
36b7acd903108abf04b18bf6449f45b3,basketball_nba,NBA,2026-03-01T23:11:00Z,2026-03-01T23:33:59Z,Portland Trail Blazers @ Atlanta Hawks,Portland Trail Blazers,2026-03-01,Kalshi,9.09,8.6,0.06,2.0,Not Found
8719695c7a3931a5a82f1935788f8461,basketball_ncaab,NCAAB,2026-03-02T01:00:00Z,2026-03-02T01:47:40Z,Wichita St Shockers @ UTSA Roadrunners,UTSA Roadrunners,2026-03-02,Kalshi,25.0,19.35,0.29,2.0,Not Found
db9611421b58e0773c99d249ed0b0c80,basketball_ncaab,NCAAB,2026-03-02T00:10:55Z,2026-03-02T01:47:40Z,Charleston Cougars @ UNC Wilmington Seahawks,Charleston Cougars,2026-03-02,Kalshi,9.09,8.32,0.09,2.0,Not Found
517d3f658ed7692ebe7eaea81aa3c1ef,basketball_nba,NBA,2026-03-02T02:40:00Z,2026-03-02T01:47:40Z,Sacramento Kings @ Los Angeles Lakers,Sacramento Kings,2026-03-02,Kalshi,7.14,6.64,0.08,2.0,Not Found
86fd98aadb58937788403be8e185427e,baseball_mlb_preseason,MLB Preseason,2026-03-02T20:10:00Z,2026-03-02T20:19:54Z,Athletics @ San Diego Padres,San Diego Padres,2026-03-02,Kalshi,2.22,1.96,0.14,2.0,Not Found
acc4bb4e15f1098230a99a0b040ee361,baseball_mlb_preseason,MLB Preseason,2026-03-02T20:10:00Z,2026-03-02T20:19:54Z,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,2026-03-02,Kalshi,2.27,2.03,0.12,2.0,Not Found
b8a1fb4112075494ff56f9d590d9767d,basketball_ncaab,NCAAB,2026-03-02T23:02:17Z,2026-03-02T23:13:32Z,Norfolk St Spartans @ Morgan St Bears,Morgan St Bears,2026-03-02,Kalshi,2.5,2.44,0.03,2.0,Not Found
4c5f22af34a4fd3c2872da13d2223fd3,basketball_ncaab,NCAAB,2026-03-03T00:00:00Z,2026-03-02T23:45:05Z,Coppin St Eagles @ Howard Bison,Coppin St Eagles,2026-03-03,Kalshi,25.0,22.37,0.12,2.0,Not Found
6a8a2e7facbf790491cf74214c3a2545,basketball_ncaab,NCAAB,2026-03-02T23:59:37Z,2026-03-03T00:02:39Z,Duke Blue Devils @ NC State Wolfpack,NC State Wolfpack,2026-03-02,Kalshi,5.56,5.22,0.07,2.0,Not Found
c607e8171a8a96729a340abf14315647,basketball_ncaab,NCAAB,2026-03-03T00:00:00Z,2026-03-03T00:02:39Z,South Carolina St Bulldogs @ Delaware St Hornets,Delaware St Hornets,2026-03-03,Kalshi,1.72,1.67,0.03,2.0,Not Found
2d2386135f44c9b2a7f4e30d932c3c7c,basketball_ncaab,NCAAB,2026-03-03T00:30:00Z,2026-03-03T00:02:39Z,Stephen F. Austin Lumberjacks @ Incarnate Word Cardinals,Incarnate Word Cardinals,2026-03-03,Kalshi,4.17,4.07,0.03,2.0,Not Found
f52cc2a12e4a420f32a90b3162910c80,basketball_ncaab,NCAAB,2026-03-03T03:00:00Z,2026-03-03T03:11:56Z,Idaho State Bengals @ Sacramento St Hornets,Sacramento St Hornets,2026-03-03,Kalshi,2.38,2.18,0.09,2.0,Not Found
